Universidad,Facultad,Título,Tipo de Título,Duración,Condiciones de Ingreso,Domicilio,Teléfono,Web,Mail,Disciplina
Universidad Nacional de San Martín,Escuela de Humanidades - Centro,Licenciado en Comunicación Audiovisual - Ciclo de Licenciatura,Ciclo de Licenciatura,4 Cuatrimestres,Consulte con la Institución,Av. Roque Sáenz Peña 832 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 40061500,www.unsam.edu.ar ,ehu.dga@unsam.edu.ar,Ciencias de la Información y de la Comunicación
Universidad Nacional de San Martín,Escuela de Humanidades - Migueletes,Licenciado en Estudios de la Comunicación,Grado,10 Cuatrimestres,Consulte con la Institución,Martín de Irigoyen 3100 - Barrio Gral. San Martin - Buenos Aires ,(0011) 40061500,www.unsam.edu.ar ,ehu.dga@unsam.edu.ar,Ciencias de la Información y de la Comunicación
Universidad Nacional de Santiago del Estero,Facultad de Ciencias Exactas y Tecnologías,Analista Universitario en Sistemas de Información,Título Intermedio,4 Años,Asistencia a Curso de Ingreso o Nivelación,Av. Belgrano (S) 1912 - Santiago Del Estero - Santiago Del Estero ,(00385) 4213481,http://fce.unse.edu.ar ,info-fce@unse.edu.ar,Ciencias de la Información y de la Comunicación
Universidad Nacional de Santiago del Estero,"Facultad de Humanidades, Cs. Sociales y de la Salud",Licenciado en Periodismo - Ciclo de Complementación Curricular,Ciclo de Complementación Curricular,2.5 Años,Consulte con la Institución,Av. Belgrano (S) 1912 - Santiago Del Estero - Santiago Del Estero ,(00385) 4509500,http://fhu.unse.edu.ar/ ,area.comunicacionfh@gmail.com,Ciencias de la Información y de la Comunicación
Universidad Nacional de Santiago del Estero,"Facultad de Humanidades, Cs. Sociales y de la Salud",Técnico en Información Económica y Social,Título Intermedio,3 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Av. Belgrano (S) 1912 - Santiago Del Estero - Santiago Del Estero ,(00385) 4509500,http://fhu.unse.edu.ar/ ,area.comunicacionfh@gmail.com,Ciencias de la Información y de la Comunicación
Universidad Nacional de Tucumán,Facultad de Ciencias Naturales e Instituto Miguel Lillo,Técnico Universitario en Documentación y Museología Arqueológica,Técnico Instrumental,3 Años,Consulte con la Institución,Miguel Lillo 209 - San Miguel De Tucuman - Tucumán ,(00381) 4239456,www.csnat.unt.edu.ar ,info@unt.edu.ar,Ciencias de la Información y de la Comunicación
Universidad Nacional de Tucumán,Facultad de Filosofía y Letras,Licenciado en Ciencias de la Comunicación,Grado,4 Años,Asistencia a Curso de Ingreso o Nivelación,Av. Benjamin Araoz 800 - San Miguel De Tucuman - Tucumán ,(00381) 4213406,www.filo.unt.edu.ar ,info@unt.edu.ar,Ciencias de la Información y de la Comunicación
Universidad Nacional de Tucumán,Facultad de Filosofía y Letras,Técnico Universitario en Comunicación,Título Intermedio,3 Años,Asistencia a Curso de Ingreso o Nivelación,Av. Benjamin Araoz 800 - San Miguel De Tucuman - Tucumán ,(00381) 4213406,www.filo.unt.edu.ar ,info@unt.edu.ar,Ciencias de la Información y de la Comunicación
Universidad Nacional de Villa María,Instituto Académico Pedagógico de Ciencias Sociales,Licenciado en Ciencias de la Comunicación - Ciclo de Licenciatura,Ciclo de Licenciatura,3 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Arturo Jauretche 1555 - Villa María - Córdoba ,(00353) 4539110,http://www.unvm.edu.ar ,informes@unvm.edu.ar,Ciencias de la Información y de la Comunicación
Universidad Nacional de Villa María,Instituto Académico Pedagógico de Ciencias Sociales,Licenciado en Comunicación Social,Grado,10 Cuatrimestres,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Arturo Jauretche 1555 - Villa María - Córdoba ,(00353) 4539110,http://www.unvm.edu.ar ,informes@unvm.edu.ar,Ciencias de la Información y de la Comunicación
Universidad Nacional de Villa María,Instituto Académico Pedagógico de Ciencias Sociales,Técnico Universitario en Periodismo,Técnico Instrumental,6 Cuatrimestres,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Arturo Jauretche 1555 - Villa María - Córdoba ,(00353) 4539110,http://www.unvm.edu.ar ,informes@unvm.edu.ar,Ciencias de la Información y de la Comunicación
Universidad Nacional de Villa Mercedes,Escuela de Gestion de Empresas y Economia,Licenciado en Diseño de Comunicación,Grado,5 Años,Asistencia a Curso de Ingreso o Nivelación,Las Heras 383 - Villa Mercedes - San Luis ,(002657) 422154,www.unvime.edu.ar ,mvguman@gmail.com,Ciencias de la Información y de la Comunicación
Universidad Nacional de Villa Mercedes,Escuela de Gestion de Empresas y Economia,Técnico Universitario en Diseño de Comunicación,Otros Pregrados,3 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Las Heras 383 - Villa Mercedes - San Luis ,(002657) 422154,www.unvime.edu.ar ,mvguman@gmail.com,Ciencias de la Información y de la Comunicación
Universidad Provincial del Sudoeste,"Facultad de la Micro, Pequeña y Mediana Empresa",Técnico Universitario en Periodismo y Emprendimientos de la Comunicación,Técnico Instrumental,3 Años,Ingreso Directo,San Martin 415 - Pigue - Buenos Aires ,(002923) 475693,www.upso.edu.ar ,info@upso.edu.ar,Ciencias de la Información y de la Comunicación
Universidad Provincial del Sudoeste,Sede Académica Darregueira,Técnico Universitario en Periodismo y Emprendimientos de la Comunicación,Técnico Instrumental,3 Años,Ingreso Directo,Juan José Paso 287 - Darragueira - Buenos Aires ,(002924) 420244,www.upso.edu.ar ,info@upso.edu.ar,Ciencias de la Información y de la Comunicación
Universidad Provincial del Sudoeste,Sede Académica Punta Alta,Técnico Universitario en Periodismo y Emprendimientos de la Comunicación,Técnico Instrumental,3 Años,Ingreso Directo,Urquiza 661 - Punta Alta - Buenos Aires ,(002932) 435786,www.upso.edu.ar ,info@upso.edu.ar,Ciencias de la Información y de la Comunicación
Universidad Salesiana Argentina,Facultad de Ciencias Sociales,Licenciado en Comunicación,Grado,5 Años,Consulte con la Institución,Gorriti 132 - Bahia Blanca - Buenos Aires ,(00291) 4552532,http://www.unisal.edu.ar ,academica@unisal.edu.ar,Ciencias de la Información y de la Comunicación
Instituto Universitario Naval,Unidad Académica Escuela de Ciencias del Mar,Licenciado en Cartografía,Grado,4 Años,Consulte con la Institución,Av. Antartida Argentina 1201 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 43172000,www.escm.edu.ar ,informaciones@escm.edu.ar,Ciencias del Suelo
Instituto Universitario Naval,Unidad Académica Escuela de Ciencias del Mar,Técnico Universitario en Cartografía,Título Intermedio,3 Años,Consulte con la Institución,Av. Antartida Argentina 1201 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 43172000,www.escm.edu.ar ,informaciones@escm.edu.ar,Ciencias del Suelo
Universidad de Buenos Aires,Facultad de Ciencias Exactas y Naturales,Licenciado en Ciencias Geológicas,Grado,6 Años,Ingreso Directo,Intendente Güiraldes 2160 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 45083619,www.exactas.uba.ar ,academ@de.fcen.uba.ar,Ciencias del Suelo
Universidad de Buenos Aires,Facultad de Ciencias Exactas y Naturales,Profesor de Enseñanza Media y Superior en Ciencias Geológicas,Grado,5 Años,Ingreso Directo,Intendente Güiraldes 2160 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 45083619,www.exactas.uba.ar ,academ@de.fcen.uba.ar,Ciencias del Suelo
Universidad de la Defensa Nacional,Facultad de la Armada,Licenciado en Cartografía,Grado,4 Años,Consulte con la Institución,Maipú 262 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 43172000,www.ara.mil.ar ,rectorado@undef.edu.ar,Ciencias del Suelo
Universidad de la Defensa Nacional,Facultad de la Armada,Técnico Universitario en Cartografía,Título Intermedio,3 Años,Consulte con la Institución,Maipú 262 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 43172000,www.ara.mil.ar ,rectorado@undef.edu.ar,Ciencias del Suelo
Universidad Nacional de Catamarca,Facultad de Tecnología y Ciencias Aplicadas,Licenciado en Geología,Grado,5 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Maximo Victoria 55 - San Fernando del Valle de Catamarca - Catamarca ,(003833) 429666,http://www.unca.edu.ar/ ,ffama@tecno.unca.edu.ar,Ciencias del Suelo
Universidad Nacional de Córdoba,"Facultad de Ciencias Exactas, Físicas y Naturales",Geólogo,Grado,5 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Av.Velez Sarsfield - Cd.Universitaria 1611 - Córdoba - Córdoba ,(00351) 5353800,www.efn.uncor.edu ,decano@efn.uncor.edu,Ciencias del Suelo
Universidad Nacional de Cuyo,Facultad de Ciencias Exactas y Naturales - Delegación Malargüe,Licenciado en Geología,Grado,5 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Campus Educativo Municipal II Sin nro. - Malargue - Mendoza ,(00260) 447064,www.fcen.uncuyo.edu.ar ,fcen@alumnos.uncu.edu.ar,Ciencias del Suelo
Universidad Nacional de Jujuy,Facultad de Ingeniería,Licenciado en Geología,Grado,5 Años,Asistencia a Curso de Ingreso o Nivelación,Gorriti 237 - San Salvador De Jujuy - Jujuy ,(00388) 4221528,http://www.fi.unju.edu.ar/ ,orientacion@unju.edu.ar,Ciencias del Suelo
Universidad Nacional de Jujuy,Facultad de Ingeniería,Técnico Universitario en Ciencias de la Tierra,Otros Pregrados,3 Años,Asistencia a Curso de Ingreso o Nivelación,Gorriti 237 - San Salvador De Jujuy - Jujuy ,(00388) 4221528,http://www.fi.unju.edu.ar/ ,orientacion@unju.edu.ar,Ciencias del Suelo
Universidad Nacional de Jujuy,Facultad de Ingeniería,Técnico Universitario en Ciencias de la Tierra Orientada a Petróleo,Otros Pregrados,3 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Gorriti 237 - San Salvador De Jujuy - Jujuy ,(00388) 4221528,http://www.fi.unju.edu.ar/ ,orientacion@unju.edu.ar,Ciencias del Suelo
Universidad Nacional de La Pampa,Facultad de Ciencias Exactas y Naturales,Licenciado en Geología,Grado,5 Años,Ingreso Directo,Avda. Uruguay 151 - Santa Rosa - La Pampa ,(002954) 422026,www.exactas.unlpam.edu.ar ,sacademica@exactas.unlpam.edu.ar,Ciencias del Suelo
Universidad Nacional de la Patagonia San Juan Bosco,Facultad de Ciencias Naturales y Ciencias de la Salud - Sede Comodoro Rivadavia,Geólogo,Grado,5 Años,Consulte con la Institución,Ruta Provincial N 1 Km 4 sn - Comodoro Rivadavia - Chubut ,(00297) 4550339,www.unp.edu.ar ,alumnosfcn@unpata.edu.ar,Ciencias del Suelo
Universidad Nacional de la Patagonia San Juan Bosco,Facultad de Humanidades y Ciencias Sociales - Sede Comodoro Rivadavia,Técnico en Sistemas de Información Geográfica y Teledetección,Técnico Instrumental,3 Años,Ingreso Directo,Ruta Provincial Nº 1 - Km4 sd - Comodoro Rivadavia - Chubut ,(00297) 4557318,www.unp.edu.ar ,decanafhycs@unp.edu.ar,Ciencias del Suelo
Universidad Nacional de la Patagonia San Juan Bosco,Facultad de Humanidades y Ciencias Sociales - Sede Trelew,Técnico en Sistemas de Información Geográfica y Teledetección,Técnico Instrumental,3 Años,Ingreso Directo,Rw Gales y Belgrano sn - Trelew - Chubut ,(00280) 4421807,www.fhcs.unp.edu.ar ,alumnos_fhycs@unp.edu.ar,Ciencias del Suelo
Universidad Nacional de La Plata,Facultad de Ciencias Astronómicas y Geofísicas,Geofísico,Grado,4 Años,Asistencia a Curso de Ingreso o Nivelación,Paseo del Bosque s/n - La Plata - Buenos Aires ,(00221) 4236593,www.fcaglp.unlp.edu.ar ,extension@fcaglp.unlp.edu.ar,Ciencias del Suelo
Universidad Nacional de La Plata,Facultad de Ciencias Naturales y Museo,Licenciado en Geología,Grado,5 Años,Asistencia a Curso de Ingreso o Nivelación,60 y 122 - - La Plata - Buenos Aires ,(00221) 4236773,www.fcnym.unlp.edu.ar ,alumnos@fcnym.unlp.edu.ar,Ciencias del Suelo
Universidad Nacional de La Plata,Facultad de Ciencias Naturales y Museo,Licenciado en Geoquímica,Grado,5 Años,Asistencia a Curso de Ingreso o Nivelación,60 y 122 - - La Plata - Buenos Aires ,(00221) 4236773,www.fcnym.unlp.edu.ar ,alumnos@fcnym.unlp.edu.ar,Ciencias del Suelo
Universidad Nacional de La Rioja,Sede La Rioja,Geólogo,Grado,5 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Av. Luis M. de la Fuente s/n - La Rioja - La Rioja ,(003822) 457000,www.unlar.edu.ar ,academic@unlar.edu.ar,Ciencias del Suelo
Universidad Nacional de La Rioja,Sede Villa Unión,Licenciado en Hidrogeología,Grado,4 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Av. Lavalle S/Nº - Villa Union - La Rioja ,(003825) 470266,www.unlar.edu.ar ,academic@unlar.edu.ar,Ciencias del Suelo
Universidad Nacional de La Rioja,Sede Villa Unión,Técnico Universitario en Hidrología,Título Intermedio,2 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Av. Lavalle S/Nº - Villa Union - La Rioja ,(003825) 470266,www.unlar.edu.ar ,academic@unlar.edu.ar,Ciencias del Suelo
Universidad Nacional del Comahue,Facultad de Ingeniería,Licenciado en Ciencias Geológicas,Grado,5 Años,Ingreso Directo,Buenos Aires 1400 - Neuquen - Neuquén ,(00299) 4490368,http://fainweb.uncoma.edu.ar ,"alufi@uncoma.edu.ar,",Ciencias del Suelo
Universidad Nacional del Litoral,Facultad de Ingeniería y Ciencias Hídricas,Perito Topo Cartógrafo,Técnico Instrumental,3 Años,Asistencia a Curso de Ingreso o Nivelación,Ciudad Universitaria s/n - Santa Fe - Santa Fé ,(00342) 4575224,www.fich.unl.edu.ar ,fich@fich.unl.edu.ar,Ciencias del Suelo
Universidad Nacional del Sur,Departamento de Física,Licenciado en Geofísica,Grado,5 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Avenida Alem 1253 - Bahia Blanca - Buenos Aires ,(00291) 4595141,www.uns.edu.ar ,dpfisica@uns.edu.ar,Ciencias del Suelo
Universidad Nacional del Sur,Departamento de Geografía y Turismo,"Técnico Universitario en Cartografía, Teledetección y Sistemas de Información Geográfica",Otros Pregrados,3 Años,Asistencia a Curso de Ingreso o Nivelación,12 de octubre y San Juan - - Bahia Blanca - Buenos Aires ,(00291) 4595144,www.uns.edu.ar ,geografia@uns.edu.ar,Ciencias del Suelo
Universidad Nacional del Sur,Departamento de Geología,Licenciado en Ciencias Geológicas,Grado,10 Cuatrimestres,Asistencia y Aprobación a Curso de Ingreso o Nivelación,San Juan 670 - Bahia Blanca - Buenos Aires ,(00291) 4595147,www.uns.edu.ar ,geologia@criba.edu.ar,Ciencias del Suelo
Universidad Nacional de Río Cuarto,"Facultad de Ciencias Exactas, Físico-Químicas y Naturales",Licenciado en Geología,Grado,5 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Ruta 36 Km 601 - Rio Cuarto - Córdoba ,(00358) 4676227,"www.unrc.edu.ar, www.exa.unrc.edu.ar ","infoacad@rec.unrc.edu.ar, secpostgrado@exa.unrc.ed",Ciencias del Suelo
Universidad Nacional de Río Negro,Académica Sede Alto Valle - Valle Medio,Licenciado en Geología,Grado,5 Años,Consulte con la Institución,Isidro Lobo 516 - Gral. Roca - Río Negro ,(00298) 4427399,www.unrn.edu.ar ,alumnos.avvm@unrn.edu.ar,Ciencias del Suelo
Universidad Nacional de Salta,Facultad de Ciencias Naturales,Geólogo,Grado,5 Años,Ingreso Directo,Avenida Bolivia 5150 - Salta - Salta ,(00387) 4255455,http://www.unsa.edu.ar/ ,info@unsa.edu.ar,Ciencias del Suelo
Universidad Nacional de San Juan,"Facultad de Ciencias Exactas, Físicas y Naturales",Licenciado en Ciencias Geológicas,Grado,5 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Av. José I. de la Roza y Meglioli S/N - San Juan - San Juan ,(00264) 4234129,http://www.unsj.edu.ar/ ,dcyere@unsj.edu.ar - dgcc@unsj.edu.ar,Ciencias del Suelo
Universidad Nacional de San Juan,"Facultad de Ciencias Exactas, Físicas y Naturales",Licenciado en Geofísica,Grado,5 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Av. José I. de la Roza y Meglioli S/N - San Juan - San Juan ,(00264) 4234129,http://www.unsj.edu.ar/ ,dcyere@unsj.edu.ar - dgcc@unsj.edu.ar,Ciencias del Suelo
Universidad Nacional de San Luis,Facultad de Cs. Físico-Matemáticas y Naturales,Licenciado en Ciencias Geológicas,Grado,5 Años,Asistencia a Curso de Ingreso o Nivelación,Avda. Ejercito de los Andes 950 - San Luis - San Luis ,(00266) 4424027,http://webfcfmyn.unsl.edu.ar ,sacadfmn@unsl.edu.ar,Ciencias del Suelo
Universidad Nacional de Santiago del Estero,Facultad de Ciencias Exactas y Tecnologías,Licenciado en Hidrología Subterránea,Grado,4 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Av. Belgrano (S) 1912 - Santiago Del Estero - Santiago Del Estero ,(00385) 4213481,http://fce.unse.edu.ar ,info-fce@unse.edu.ar,Ciencias del Suelo
Universidad Nacional de Santiago del Estero,Facultad de Ciencias Exactas y Tecnologías,Técnico Universitario en Hidrología Subterránea,Otros Pregrados,3 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Av. Belgrano (S) 1912 - Santiago Del Estero - Santiago Del Estero ,(00385) 4213481,http://fce.unse.edu.ar ,info-fce@unse.edu.ar,Ciencias del Suelo
"Universidad Nacional de Tierra del Fuego, Antártida e Islas del Atlántico Sur","Instituto de Ciencias Polares, Ambiente y Recursos Naturales",Licenciado en Geología,Grado,5 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Onas 450 - Ushuaia - Tierra Del Fuego ,(002901) 43,www.untdf.edu.ar ,mvaca@untdf.edu.ar,Ciencias del Suelo
Universidad Nacional de Tucumán,Facultad de Ciencias Naturales e Instituto Miguel Lillo,Geólogo,Grado,5 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Miguel Lillo 209 - San Miguel De Tucuman - Tucumán ,(00381) 4239456,www.csnat.unt.edu.ar ,info@unt.edu.ar,Ciencias del Suelo
Universidad Tecnológica Nacional,Facultad Regional Trenque Lauquen,Técnico Superior en Energías Sustentables,Técnico Instrumental,2.5 Años,Consulte con la Institución,Racedo 298 - Trenque Lauquen - Buenos Aires ,(002392) 422023,www.frtl.utn.edu.ar ,decano@frtl.utn.edu.ar,Ciencias del Suelo
Instituto Universitario Aeronáutico,Escuela de Aviación Militar,Licenciado en Conducción de Recursos Aeroespaciales para la Defensa,Grado,4 Años,Consulte con la Institución,Av.Fuerza Aérea 6500 - Córdoba - Córdoba ,(00351) 4333900,http://www.eam.iua.edu.ar/ ,incorporacion@eam.iua.edu.ar,"Ciencias Políticas, Relaciones Internacionales y Diplomacia"
Instituto Universitario de Gendarmería Nacional,"Unidad Académica de Pregrado Escuela de Suboficiales de Gendarmería ""Cabo Raúl Remberto Cuello""",Técnico Universitario en Seguridad Pública y Ciudadana,Otros Pregrados,3 Años,Consulte con la Institución,AV. 28 DE JULIO 1635 - Jesus Maria - Córdoba ,(00352) 5401964,http://gendarmeria.gob.ar/educacion-e-institutos/ ,agr.acad.cuello@iugna.edu.ar,"Ciencias Políticas, Relaciones Internacionales y Diplomacia"
Instituto Universitario de Gendarmería Nacional,"Unidad Académica de Pregrado Escuela de Suboficiales de Gendarmería ""Cabo Raúl Remberto Cuello""",Técnico Universitario en Seguridad Pública y Ciudadana con Orientación en Administración Pública,Otros Pregrados,3 Años,Consulte con la Institución,AV. 28 DE JULIO 1635 - Jesus Maria - Córdoba ,(00352) 5401964,http://gendarmeria.gob.ar/educacion-e-institutos/ ,agr.acad.cuello@iugna.edu.ar,"Ciencias Políticas, Relaciones Internacionales y Diplomacia"
Instituto Universitario de Gendarmería Nacional,"Unidad Académica de Pregrado Escuela de Suboficiales de Gendarmería ""Cabo Raúl Remberto Cuello""",Técnico Universitario en Seguridad Pública y Ciudadana con orientación en Gestión de las Comunicaciones,Otros Pregrados,3 Años,Consulte con la Institución,AV. 28 DE JULIO 1635 - Jesus Maria - Córdoba ,(00352) 5401964,http://gendarmeria.gob.ar/educacion-e-institutos/ ,agr.acad.cuello@iugna.edu.ar,"Ciencias Políticas, Relaciones Internacionales y Diplomacia"
"Instituto Universitario del Ejército ""Mayor Francisco Romero""",Unidad Académica Escuela Superior de Guerra,"Licenciado en Relaciones Internacionales con orientación en Escenarios de Conflictos Internacionales, Misiones de Paz y Desarme - MD",Grado,4 Años,Ingreso Directo,Av Luis María Campos 480 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 45765689,www.escuelasuperiordeguerra.iese.edu.ar ,informes@iese.edu.ar,"Ciencias Políticas, Relaciones Internacionales y Diplomacia"
"Instituto Universitario del Ejército ""Mayor Francisco Romero""",Unidad Académica Escuela Superior de Guerra,Profesor Universitario para la Enseñanza Media y Superior de la Conducción Militar,Ciclo de Profesorado,3 Cuatrimestres,Consulte con la Institución,Av Luis María Campos 480 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 45765689,www.escuelasuperiordeguerra.iese.edu.ar ,informes@iese.edu.ar,"Ciencias Políticas, Relaciones Internacionales y Diplomacia"
Instituto Universitario de Seguridad Marítima,Departamento Académico Escuela de Oficiales,Analista Universitario en Seguridad Marítima,Título Intermedio,3 Años,Exámen de Ingreso,Cro. Gral. Belgrano 302 - Zarate - Buenos Aires ,(003487) 422288,http://www.prefecturanaval.edu.ar/iupna/ ,epreingreso@prefecturanaval.gov.ar,"Ciencias Políticas, Relaciones Internacionales y Diplomacia"
Instituto Universitario Naval,Unidad Académica Escuela Naval Militar,Licenciado en Recursos Navales para la Defensa con orientación alternativa en Comando Infantería de Marina,Grado,5 Años,Consulte con la Institución,Rio Santiago - Base Naval De Rio Santiago - Buenos Aires ,(00221) 4680330,www.escuelanaval.mil.ar ,ingreso@escuelanaval.mil.ar,"Ciencias Políticas, Relaciones Internacionales y Diplomacia"
Instituto Universitario Naval,Unidad Académica Escuela Naval Militar,Licenciado en Recursos Navales para la Defensa con orientación alternativa en Comando Naval,Grado,5 Años,Consulte con la Institución,Rio Santiago - Base Naval De Rio Santiago - Buenos Aires ,(00221) 4680330,www.escuelanaval.mil.ar ,ingreso@escuelanaval.mil.ar,"Ciencias Políticas, Relaciones Internacionales y Diplomacia"
Instituto Universitario Naval,Unidad Académica Escuela Naval Militar,Licenciado en Recursos Navales para la Defensa con orientación Comando Infantería de Marina,Grado,5 Años,Consulte con la Institución,Rio Santiago - Base Naval De Rio Santiago - Buenos Aires ,(00221) 4680330,www.escuelanaval.mil.ar ,ingreso@escuelanaval.mil.ar,"Ciencias Políticas, Relaciones Internacionales y Diplomacia"
Instituto Universitario Naval,Unidad Académica Escuela Naval Militar,Licenciado en Recursos Navales para la Defensa con orientación Comando Naval,Grado,5 Años,Consulte con la Institución,Rio Santiago - Base Naval De Rio Santiago - Buenos Aires ,(00221) 4680330,www.escuelanaval.mil.ar ,ingreso@escuelanaval.mil.ar,"Ciencias Políticas, Relaciones Internacionales y Diplomacia"
Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad Teresa de Ávila,Licenciado en Ciencias Políticas,Grado,4 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Buenos Aires 239 - Paraná - Entre Ríos ,(00343) 4312583,www.uca.edu.ar ,ingreso_parana@uca.edu.ar,"Ciencias Políticas, Relaciones Internacionales y Diplomacia"
Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad Teresa de Ávila,Licenciado en Relaciones Internacionales,Grado,4 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Buenos Aires 239 - Paraná - Entre Ríos ,(00343) 4312583,www.uca.edu.ar ,ingreso_parana@uca.edu.ar,"Ciencias Políticas, Relaciones Internacionales y Diplomacia"
Universidad Abierta Interamericana,Facultad de Derecho y Ciencias Políticas,Licenciado en Ciencia Política,Grado,4 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Chacabuco 90 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 43427788,www.uai.edu.ar ,contacto@uai.edu.ar,"Ciencias Políticas, Relaciones Internacionales y Diplomacia"
Universidad Abierta Interamericana,Facultad de Derecho y Ciencias Políticas,Licenciado en Relaciones Internacionales,Grado,4 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Chacabuco 90 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 43427788,www.uai.edu.ar ,contacto@uai.edu.ar,"Ciencias Políticas, Relaciones Internacionales y Diplomacia"
Universidad Abierta Interamericana,Facultad de Derecho y Ciencias Políticas - Rosario,Licenciado en Ciencia Política,Grado,4 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Av. Pellegrini 1816 - Rosario - Santa Fé ,(00341) 4408010,www.uai.edu.ar ,contacto@uai.edu.ar,"Ciencias Políticas, Relaciones Internacionales y Diplomacia"
Universidad Abierta Interamericana,Facultad de Derecho y Ciencias Políticas - Rosario,Licenciado en Relaciones Internacionales,Grado,4 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Av. Pellegrini 1816 - Rosario - Santa Fé ,(00341) 4408010,www.uai.edu.ar ,contacto@uai.edu.ar,"Ciencias Políticas, Relaciones Internacionales y Diplomacia"
Universidad Argentina de la Empresa,Facultad de Ciencias Jurídicas y Sociales,Analista en Política y Administración Pública,Título Intermedio,5 Cuatrimestres,Consulte con la Institución,Lima 717 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 40007600,www.uade.edu.ar ,admision@uade.edu.ar,"Ciencias Políticas, Relaciones Internacionales y Diplomacia"
Universidad Argentina de la Empresa,Facultad de Ciencias Jurídicas y Sociales,Analista Político Universitario,Título Intermedio,5 Cuatrimestres,Consulte con la Institución,Lima 717 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 40007600,www.uade.edu.ar ,admision@uade.edu.ar,"Ciencias Políticas, Relaciones Internacionales y Diplomacia"
Universidad Argentina de la Empresa,Facultad de Ciencias Jurídicas y Sociales,Licenciado en Gobierno y Relaciones Internacionales,Grado,4 Años,Consulte con la Institución,Lima 717 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 40007600,www.uade.edu.ar ,admision@uade.edu.ar,"Ciencias Políticas, Relaciones Internacionales y Diplomacia"
Universidad Argentina de la Empresa,Facultad de Ciencias Jurídicas y Sociales,Licenciado en Política y Administración Pública,Grado,4 Años,Consulte con la Institución,Lima 717 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 40007600,www.uade.edu.ar ,admision@uade.edu.ar,"Ciencias Políticas, Relaciones Internacionales y Diplomacia"
Universidad Argentina John F. Kennedy,"Facultad de Ciencias Sociales, Jurídicas y Humanas",Licenciado en Relaciones Internacionales,Grado,4 Años,Ingreso Directo,Bartolomé Mitre 1411 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(00800) 2225366,http://www.kennedy.edu.ar/ ,info@kennedy.edu.ar,"Ciencias Políticas, Relaciones Internacionales y Diplomacia"
Universidad Católica de Córdoba,Facultad de Ciencia Política y Relaciones Internacionales,Licenciado en Ciencia Política,Grado,4 Años,Exámen de Ingreso,Av. Armada Argentina 3555 - Córdoba - Córdoba ,(00351) 4938000,www.ucc.edu.ar ,cpolsec@uccor.edu.ar,"Ciencias Políticas, Relaciones Internacionales y Diplomacia"
